title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
Fundamentals of Immunology: Death by Friendly Fire,Rice University,"4.7
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,"3.7
stars",Missing,Data Science,"['Python Programming', 'Data Visualization (DataViz)', 'Linear Regression', 'SQL', 'Data Preparation']",Intermediate Level,Approx. 32 hours to complete,Missing,Missing
"App Deployment, Debugging, and Performance",Google Cloud,"4.6
stars",Missing,Computer Science,"['Google Container Engine', 'Debugging', 'Google Cloud Platform', 'Cloud Computing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Fundamentals of waves and vibrations,École Polytechnique,"4.5
stars",Missing,Physical Science and Engineering,[],"Intermediate Level
Some background in Mechanical Engineering is necessary",Approx. 6 hours to complete,Missing,Missing
Budgeting essentials and development,Fundação Instituto de Administração,"4.6
stars",Missing,Business,[],Intermediate Level,Approx. 22 hours to complete,Missing,Missing
Data Structures and Performance,University of California San Diego,"4.8
stars",Missing,Computer Science,"['Trees (Data Structures)', 'Data Structure', 'Linked List', 'Binary Tree']",Intermediate Level,Approx. 38 hours to complete,Missing,Missing
Monetary Policy in the Asia Pacific,The Hong Kong University of Science and Technology,"4.8
stars",Missing,Social Sciences,[],Intermediate Level,Approx. 8 hours to complete,Missing,Missing
"Conjunctions, Connectives, and Adverb Clauses","University of California, Irvine","4.8
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Python and Machine Learning for Asset Management,EDHEC Business School,"3.1
stars",Missing,Business,"['Programming skills', 'Managing your own personal invetsments', 'Investment management knowledge', 'Computer Science', 'Expertise in data science']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
When Disaster Meets Conflict,Erasmus University Rotterdam,"4.6
stars",Missing,Arts and Humanities,[],Intermediate Level,Approx. 9 hours to complete,Missing,Missing
Brand & Content Marketing,IE Business School,"4.2
stars",Missing,Arts and Humanities,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
API Security on Google Cloud's Apigee API Platform,Google Cloud,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Deployment Scenarios with TensorFlow,deeplearning.ai,"4.5
stars",Missing,Computer Science,"['TensorFlow Serving', 'Machine Learning', 'federated learning', 'TensorFlow Hub', 'TensorBoard']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Distributed Computing with Spark SQL,"University of California, Davis","4.3
stars",Missing,Data Science,"['Data Science', 'Apache Spark', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Concurrent Programming in Java,Rice University,"4.5
stars",Missing,Computer Science,"['Concurrency (Computer Science)', 'Actor Model', 'Optimistic Concurrency Control', 'Java Concurrency']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Transmission electron microscopy for materials science,École Polytechnique Fédérale de Lausanne,"3.8
stars",Missing,Physical Science and Engineering,[],"Intermediate Level
Basics of crystallography, geometrical optics are needed prerequisites; Fourier optics, advanced crystallography and solid state physics will help.",Approx. 46 hours to complete,Missing,Missing
Linear Circuits 2: AC Analysis,Georgia Institute of Technology,"4.7
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Applying Machine Learning to your Data with GCP,Google Cloud,"4.7
stars",Missing,Information Technology,"['Bigquery', 'Machine Learning', 'Google Cloud Platform', 'Cloud Computing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Validity and Bias in Epidemiology,Imperial College London,"4.9
stars",Missing,Health,"['Validity', 'Interaction (Statistics)', 'Information bias', 'Confounding', 'Selection Bias']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Ludwig-Maximilians-Universität München (LMU),"4.8
stars",Missing,Physical Science and Engineering,[],"Intermediate Level
Basic knowledge of calculus and analysis, series, partial differential equations, and linear algebra.",Approx. 35 hours to complete,Missing,Missing
Introduction to Household Water Treatment and Safe Storage,École Polytechnique Fédérale de Lausanne,"4.7
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 14 hours to complete,Missing,Missing
Survival Analysis in R for Public Health,Imperial College London,"4.4
stars",Missing,Health,"['Understand common ways to choose what predictors go into a regression model', 'Run and interpret Kaplan-Meier curves in R', 'Construct a Cox regression model in R']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Processing and Feature Engineering with MATLAB,MathWorks,"4.6
stars",Missing,Data Science,"['Feature Engineering', 'Matlab', 'Data Cleansing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Population Health: Predictive Analytics,Universiteit Leiden,Missing,Missing,Data Science,"['Predictive Analytics', 'medical statistics', 'R Programming', 'Regression Analysis']","Intermediate Level
Basic familiarity with R, knowledge of basic statistical concepts. Completing 'Population Health: Responsible Data Analysis' beforehand recommended.",Approx. 17 hours to complete,Missing,Missing
New Product Development - develop your own new product,Technion - Israel Institute of Technology,"4.5
stars",Missing,Business,[],Intermediate Level,Approx. 12 hours to complete,Missing,Missing
Logistic Regression in R for Public Health,Imperial College London,"4.8
stars",Missing,Health,"['Logistic Regression', 'R Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Networking in Google Cloud: Hybrid Connectivity and Network Management,Google Cloud,"4.8
stars",Missing,Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Recommender Systems: Non-Personalized and Content-Based,University of Minnesota,"4.5
stars",Missing,Data Science,"['Summary Statistics', 'Term Frequency Inverse Document Frequency (TF-IDF)', 'Microsoft Excel', 'Recommender Systems']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Researcher Management and Leadership Training,University of Colorado System,Missing,Missing,Health,"['Mentorship', 'Resource Management', 'Clinical Research', 'Team Management', 'Leadership']","Intermediate Level
Experience with externally-funded research, or plans to join a scientific team or to lead funded research projects.",Approx. 20 hours to complete,Missing,Missing
Introduction to numerical analysis,National Research University Higher School of Economics,"4.7
stars",Missing,Computer Science,[],"Intermediate Level
Basic command of college-level mathematics (linear algebra and calculus). Basic level of programming proficiency: python programming language.",Approx. 26 hours to complete,Missing,Missing
Toledo: Deciphering Secrets of Medieval Spain,University of Colorado System,"4.6
stars",Missing,Arts and Humanities,[],Intermediate Level,Approx. 38 hours to complete,Missing,Missing
Parallel programming,École Polytechnique Fédérale de Lausanne,"4.4
stars",Missing,Computer Science,"['Data Structure', 'Parallel Computing', 'Data Parallelism', 'Parallel Algorithm']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
IBM Data Topology,IBM,Missing,Missing,Information Technology,"['Data Science', 'Dataflow', 'Strategic Planning', 'Artificial Intelligence (AI)', 'Digital Strategy']",Intermediate Level,Approx. 5 hours to complete,Missing,Missing
Introduction to High-Throughput Materials Development,Georgia Institute of Technology,"4.6
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 16 hours to complete,Missing,Missing
Psychodiagnostics and Psychological Assessment,National Research Tomsk State University,"4.1
stars",Missing,Personal Development,[],Intermediate Level,Approx. 9 hours to complete,Missing,Missing
Brand New Brand,California Institute of the Arts,"4.9
stars",Missing,Arts and Humanities,"['Adobe Photoshop', 'Adobe Indesign', 'Graphics', 'Color Theory']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"JavaScript, jQuery, and JSON",University of Michigan,"4.7
stars",Missing,Computer Science,"['Hypertext Preprocessor (PHP)', 'Jquery', 'JavaScript']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Basic Modeling for Discrete Optimization,Missing,"4.8
stars",Missing,Computer Science,"['Constraint Programming', 'Problem Solving', 'Mathematical Model', 'Discrete Optimization']",Intermediate Level,Approx. 28 hours to complete,Missing,Missing
Blockchain Opportunity Analysis,INSEAD,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Teaching Popular Music in the Classroom,Berklee College of Music,"4.3
stars",Missing,Social Sciences,"['Music', 'classroom management', 'Curriculum Design', 'Teaching', 'Learning']",Intermediate Level,Approx. 8 hours to complete,Missing,Missing
Bayesian Statistics,Duke University,"3.8
stars",Missing,Data Science,"['Bayesian Statistics', 'Bayesian Linear Regression', 'Bayesian Inference', 'R Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Improvisación de jazz,Berklee College of Music,"4.8
stars",Missing,Arts and Humanities,[],Intermediate Level,Approx. 15 hours to complete,Missing,Missing
Feature Engineering,Google Cloud,"4.5
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Framework for Data Collection and Analysis,"University of Maryland, College Park","4.1
stars",Missing,Data Science,"['Data Collection', 'Data Quality', 'Data Analysis', 'Data Generating Process']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,"4.8
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Service-Oriented Architecture,University of Alberta,"4.5
stars",Missing,Computer Science,"['Web Service', 'Microservices', 'Representational State Transfer (REST)', 'Service-Oriented Architecture']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Development of Mobile Health Monitoring Systems,Saint Petersburg State University,"4.3
stars",Missing,Computer Science,[],"Intermediate Level
Basic knowledge of mathematics, electronics and programming in MATLAB.",Approx. 21 hours to complete,Missing,Missing
Planning for Climate Change in African Cities,Missing,"4.8
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 20 hours to complete,Missing,Missing
Qualitative Research,"University of California, Davis","4.6
stars",Missing,Business,"['Sample Collection', 'Qualitative Research', 'Sample Size Determination', 'Sample Preparation', 'Focus Group']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Improving Your Statistical Questions,Eindhoven University of Technology,"4.8
stars",Missing,Data Science,"['Computational Reproducibility', 'Meta-Analysis', 'Experimental Design', 'Statistical Inferences', 'Philosophy of Science']","Intermediate Level
A basic knowledge of statistics and research methods is necessary. My previous MOOC 'Improving Your Statistical Inferences' is recommended.",Approx. 15 hours to complete,Missing,Missing
